Date,Open,High,Low,Close,Volume,Market Cap
Nov 30 2017,0.189149,0.204550,0.170006,0.192603,1616890,27349200
Nov 29 2017,0.219847,0.245673,0.174988,0.186009,3865270,31787800
Nov 28 2017,0.224139,0.249522,0.199627,0.219994,4636130,32408500
Nov 27 2017,0.186538,0.253308,0.181599,0.223757,3661480,26971700
Nov 26 2017,0.186619,0.198667,0.179864,0.186502,361311,26983500
Nov 25 2017,0.188177,0.192821,0.180658,0.187091,155592,27208700
Nov 24 2017,0.177802,0.203475,0.174249,0.188696,208276,25708500
Nov 23 2017,0.199048,0.213048,0.184290,0.184290,354060,28780600
Nov 22 2017,0.200664,0.200723,0.183767,0.198928,321588,29014300
Nov 21 2017,0.190390,0.209244,0.183125,0.200247,218569,27528700
Nov 20 2017,0.176445,0.214286,0.172785,0.190595,337384,25512300
Nov 19 2017,0.182328,0.187156,0.173315,0.176623,204366,26363000
Nov 18 2017,0.170888,0.195634,0.164726,0.182771,398994,24708800
Nov 17 2017,0.186263,0.191371,0.166708,0.171251,243621,26931900
Nov 16 2017,0.196957,0.211495,0.182222,0.186280,302716,28478100
Nov 15 2017,0.211804,0.226949,0.191851,0.196599,233507,30625000
Nov 14 2017,0.229408,0.235699,0.207544,0.213593,312574,33170400
Nov 13 2017,0.212173,0.230743,0.197420,0.229222,487490,30678400
Nov 12 2017,0.244702,0.255209,0.198448,0.211774,650690,35381700
Nov 11 2017,0.261623,0.279355,0.237665,0.244929,963261,37828300
Nov 10 2017,0.241621,0.287720,0.236676,0.260376,1615510,34936200
Nov 09 2017,0.237350,0.253568,0.224025,0.241495,141301,34318600
Nov 08 2017,0.219814,0.247094,0.218873,0.238628,73753,31783200
Nov 07 2017,0.237206,0.254684,0.213909,0.219998,81512,34297800
Nov 06 2017,0.220449,0.283635,0.207242,0.236863,213076,31874900
Nov 05 2017,0.212509,0.238236,0.183334,0.220231,66713,30726900
Nov 04 2017,0.206617,0.214247,0.188591,0.212581,35388,29874900
Nov 03 2017,0.173626,0.208426,0.167742,0.206607,78769,25104700
Nov 02 2017,0.192046,0.220144,0.161712,0.172890,111806,27768200
Nov 01 2017,0.207707,0.220520,0.186077,0.192203,93347,30032500
Oct 31 2017,0.260669,0.261266,0.208817,0.208817,78257,37690500
Oct 30 2017,0.272574,0.282163,0.236823,0.259957,137723,-
Oct 29 2017,0.227252,0.291707,0.227252,0.263104,114896,-
Oct 28 2017,0.218157,0.229528,0.203137,0.227442,32908,-
Oct 27 2017,0.240443,0.259709,0.195909,0.218368,81208,-
Oct 26 2017,0.213419,0.272253,0.212321,0.235420,50868,-
Oct 25 2017,0.266597,0.287684,0.213836,0.213836,43018,-
Oct 24 2017,0.162857,0.270342,0.161194,0.266348,63596,-
Oct 23 2017,0.197210,0.206665,0.129922,0.159639,35697,-
