Date,Open,High,Low,Close,Volume,Market Cap
Dec 01 2017,0.242039,0.332290,0.117782,0.164497,1616,-
Nov 30 2017,0.294762,0.320633,0.157406,0.243123,1578,-
Nov 29 2017,0.347478,0.365128,0.272700,0.290303,793,-
Nov 28 2017,0.325660,0.457385,0.232087,0.347824,1635,-
Nov 27 2017,0.260892,0.326674,0.159054,0.324857,1033,-
Nov 26 2017,0.306295,0.316421,0.243318,0.260843,1157,-
Nov 25 2017,0.399935,0.400590,0.260109,0.306397,2175,-
Nov 24 2017,0.385932,0.404138,0.253036,0.400744,2173,-
Nov 23 2017,0.575598,0.578410,0.386699,0.386699,1525,-
Nov 22 2017,0.357844,0.619533,0.242699,0.575782,836,-
Nov 21 2017,0.594180,0.601463,0.141968,0.356977,2304,-
Nov 20 2017,0.476230,0.696451,0.472090,0.594363,4164,-
Nov 19 2017,0.803904,0.810698,0.470233,0.476465,1615,-
Nov 18 2017,0.920734,0.934521,0.609036,0.805474,410,-
Nov 17 2017,0.979728,1.01,0.461562,0.924269,44549,-
Nov 16 2017,0.917180,1.04,0.896848,0.981340,40896,-
Nov 15 2017,0.907526,1.12,0.851427,0.912699,133000,-
Nov 14 2017,0.781732,1.95,0.707053,0.906905,393872,-
Nov 13 2017,0.645851,0.795392,0.640819,0.780081,120552,-
Nov 12 2017,0.700049,0.733441,0.609397,0.644912,56352,-
Nov 11 2017,0.700225,0.817980,0.681355,0.700565,236576,-
Nov 10 2017,0.855935,0.880336,0.702726,0.702726,57661,-
Nov 09 2017,0.900283,0.969157,0.850539,0.853396,81921,-
Nov 08 2017,0.861133,1.02,0.852618,0.901230,16678,-
Nov 07 2017,0.962984,0.998125,0.854375,0.863844,42163,-
Nov 06 2017,1.03,1.03,0.946344,0.964529,55944,-
Nov 05 2017,1.03,1.12,0.970900,1.03,52071,-
Nov 04 2017,1.35,1.36,1.03,1.03,55954,-
Nov 03 2017,1.44,1.49,1.12,1.35,2248,-
Nov 02 2017,1.11,1.49,0.979755,1.44,91296,-
Nov 01 2017,1.64,1.64,1.08,1.11,29847,-
Oct 31 2017,1.17,1.79,1.15,1.64,19134,-
Oct 30 2017,2.37,2.37,1.12,1.18,82582,-
Oct 29 2017,0.955507,2.39,0.952898,2.39,132920,-
