Date,Open,High,Low,Close,Volume,Market Cap
Jan 09 2018,0.147064,0.212891,0.137529,0.207900,11127,-
Jan 08 2018,0.135871,0.229997,0.133473,0.147466,9390,-
Jan 07 2018,0.132517,0.141988,0.127455,0.136061,4938,-
Jan 06 2018,0.119980,0.137278,0.109901,0.132290,10701,-
Jan 05 2018,0.108348,0.120632,0.100663,0.119367,5219,-
Jan 04 2018,0.097237,0.119220,0.095499,0.108309,3456,-
Jan 03 2018,0.089852,0.103502,0.089627,0.096722,2963,-
Jan 02 2018,0.071677,0.094007,0.071677,0.090036,2991,-
Jan 01 2018,0.069025,0.088020,0.064558,0.071680,4139,-
Dec 31 2017,0.081024,0.085467,0.065978,0.068760,784,-
Dec 30 2017,0.074533,0.084413,0.063491,0.081872,1055,-
Dec 29 2017,0.076018,0.078628,0.059298,0.075260,644,-
Dec 28 2017,0.078430,0.078689,0.056875,0.075252,551,-
Dec 27 2017,0.062151,0.078686,0.057079,0.078594,1419,-
Dec 26 2017,0.073921,0.132289,0.051718,0.062107,1466,-
Dec 25 2017,0.069624,0.089274,0.063195,0.073996,590,-
Dec 24 2017,0.096440,0.096440,0.063185,0.069106,1938,-
Dec 23 2017,0.101376,0.133782,0.079364,0.096785,474,-
Dec 22 2017,0.079064,0.128074,0.056897,0.101211,1185,-
Dec 21 2017,0.095146,0.099601,0.073449,0.078874,399,-
Dec 20 2017,0.064529,0.099712,0.060164,0.094897,1713,-
Dec 19 2017,0.067606,0.102865,0.050675,0.064593,1777,-
Dec 18 2017,0.079289,0.079753,0.066263,0.067622,66,-
Dec 17 2017,0.082785,0.101543,0.070196,0.079070,167,-
Dec 16 2017,0.067162,0.085502,0.060046,0.081641,347,-
Dec 15 2017,0.064506,0.067420,0.056612,0.067088,299,-
Dec 14 2017,0.113201,0.115252,0.064271,0.064409,5817,-
Dec 13 2017,0.074755,0.077243,0.061575,0.067057,84,-
Dec 12 2017,0.073465,0.082651,0.065729,0.074608,144,-
Dec 11 2017,0.057261,0.075817,0.057012,0.073255,155,-
Dec 10 2017,0.070358,0.070358,0.048160,0.057680,355,-
Dec 09 2017,0.060687,0.106402,0.050553,0.070074,5887,-
Dec 08 2017,0.066097,0.071434,0.052055,0.060745,171,-
Dec 07 2017,0.054636,0.509317,0.054224,0.065962,16648,-
Dec 06 2017,0.046505,0.056338,0.046505,0.054730,833,-
Dec 05 2017,0.049713,0.050311,0.046545,0.046608,347,-
Dec 04 2017,0.058256,0.060140,0.048897,0.049611,178,-
Dec 03 2017,0.062123,0.076114,0.052091,0.058056,123,-
Dec 02 2017,0.052997,0.062436,0.052997,0.061728,239,-
Dec 01 2017,0.059728,0.062938,0.045376,0.053372,105,-
Nov 30 2017,0.044975,0.061486,0.042433,0.060025,82,-
Nov 29 2017,0.046340,0.055512,0.040414,0.044311,263,-
Nov 28 2017,0.034144,0.046359,0.034041,0.046347,240,-
Nov 27 2017,0.047918,0.048924,0.032208,0.034056,281,-
Nov 26 2017,0.041233,0.053402,0.041230,0.046852,143,-
Nov 25 2017,0.044804,0.044877,0.037319,0.041247,81,-
Nov 24 2017,0.035986,0.159641,0.035528,0.044895,5324,-
Nov 23 2017,0.040190,0.043810,0.031865,0.036398,1509,-
Nov 22 2017,0.040096,0.051657,0.037434,0.040252,402,-
Nov 21 2017,0.052895,0.053017,0.036268,0.039999,166,-
Nov 20 2017,0.037559,0.053173,0.036880,0.052886,124,-
Nov 19 2017,0.039996,0.040054,0.035263,0.037631,45,-
Nov 18 2017,0.039930,0.041502,0.038711,0.040004,20,-
Nov 17 2017,0.044056,0.054314,0.039188,0.040082,20,-
Nov 16 2017,0.035257,0.044927,0.034468,0.044177,44,-
Nov 15 2017,0.033101,0.039668,0.033101,0.035074,36,-
Nov 14 2017,0.031496,0.033205,0.030662,0.033078,16,-
Nov 13 2017,0.030476,0.033566,0.029064,0.031429,56,-
Nov 12 2017,0.035598,0.035778,0.026419,0.030413,59,-
Nov 11 2017,0.039965,0.040827,0.032083,0.035623,62,-
Nov 10 2017,0.038257,0.044680,0.034007,0.040110,41,-
Nov 09 2017,0.037203,0.041592,0.035264,0.038144,11,-
Nov 08 2017,0.045965,0.047762,0.033512,0.037241,92,-
Nov 07 2017,0.040135,0.049376,0.040135,0.046110,12,-
Nov 06 2017,0.032301,0.043022,0.031070,0.040200,78,-
Nov 05 2017,0.050190,0.051581,0.031873,0.032230,30,-
Nov 04 2017,0.037471,0.051430,0.032328,0.050285,279,-
Nov 03 2017,0.029687,0.037737,0.029157,0.037569,60,-
Nov 02 2017,0.038612,0.039764,0.028900,0.029726,521,-
Nov 01 2017,0.048342,0.048358,0.037605,0.038569,930,-
Oct 31 2017,0.043101,0.048378,0.037188,0.048378,159,-
Oct 30 2017,0.058190,0.061186,0.028240,0.043248,12,-
Oct 29 2017,0.042770,0.059163,0.035602,0.058530,81,-
Oct 28 2017,0.034801,0.043089,0.034801,0.042829,45,-
Oct 27 2017,0.061954,0.063402,0.033593,0.034706,91,-
Oct 26 2017,0.038822,0.063126,0.038603,0.063126,1,-
Oct 25 2017,0.037808,0.038971,0.034228,0.038826,12,-
Oct 24 2017,0.030638,0.039148,0.029833,0.037789,286,-
Oct 23 2017,0.037060,0.037072,0.029851,0.030707,97,-
Oct 22 2017,0.037010,0.037333,0.027147,0.037122,142,-
Oct 21 2017,0.038729,0.039293,0.030165,0.036999,39,-
Oct 20 2017,0.046441,0.046588,0.035039,0.038811,81,-
Oct 19 2017,0.035632,0.046729,0.030606,0.046428,47,-
Oct 18 2017,0.035127,0.047207,0.028686,0.035614,188,-
Oct 17 2017,0.028856,0.035205,0.028727,0.035125,183,-
Oct 16 2017,0.036500,0.037359,0.028239,0.028852,41,-
Oct 15 2017,0.035166,0.036865,0.032787,0.036495,6,-
Oct 14 2017,0.034573,0.035799,0.034209,0.035103,20,-
Oct 13 2017,0.036963,0.039928,0.020562,0.034563,434,-
Oct 12 2017,0.034338,0.040687,0.033081,0.036850,73,-
Oct 11 2017,0.032148,0.045580,0.031892,0.034309,37,-
Oct 10 2017,0.032891,0.047919,0.031898,0.032153,398,-
Oct 09 2017,0.042842,0.048212,0.032740,0.032893,529,-
Oct 08 2017,0.037060,0.043380,0.032057,0.042831,143,-
Oct 07 2017,0.023210,0.037247,0.022584,0.037159,256,-
Oct 06 2017,0.038904,0.040878,0.022160,0.023202,7,-
Oct 05 2017,0.039587,0.039969,0.029990,0.038904,29,-
Oct 04 2017,0.044492,0.044686,0.035549,0.039552,675,-
Oct 03 2017,0.026465,0.044425,0.025881,0.044390,1146,-
Oct 02 2017,0.066752,0.127285,0.024515,0.026464,42,-
Oct 01 2017,0.034729,0.073947,0.026252,0.066685,156,-
Sep 30 2017,0.102018,0.102078,0.033807,0.034710,369,-
Sep 29 2017,0.017225,0.104073,0.012063,0.102207,40926,-
Sep 28 2017,0.018207,0.020103,0.015447,0.017234,17,-
Sep 27 2017,0.013429,0.018332,0.013429,0.018274,3,-
Sep 26 2017,0.018900,0.018933,0.013435,0.013439,573,-
Sep 25 2017,0.014331,0.018988,0.013413,0.018878,57,-
Sep 24 2017,0.007886,0.016350,0.007882,0.014353,262,-
Sep 23 2017,0.014904,0.016335,0.007103,0.007884,1309,-
Sep 22 2017,0.008501,0.016408,0.008499,0.014946,11,-
Sep 21 2017,0.014087,0.016593,0.008316,0.008506,123,-
Sep 20 2017,0.009187,0.014111,0.008336,0.014111,368,-
Sep 19 2017,0.017115,0.017128,0.009192,0.009192,928,-
Sep 18 2017,0.020679,0.022312,0.016913,0.017094,103,-
Sep 17 2017,0.021062,0.027788,0.020445,0.020708,189,-
Sep 16 2017,0.008770,0.021199,0.007729,0.021078,157,-
Sep 15 2017,0.014601,0.017676,0.008606,0.008788,1099,-
Sep 14 2017,0.017281,0.020214,0.013010,0.014490,395,-
Sep 13 2017,0.020097,0.021082,0.013568,0.017282,112,-
Sep 12 2017,0.018735,0.022518,0.017440,0.020152,162,-
Sep 11 2017,0.019907,0.019907,0.018545,0.018733,350,-
Sep 10 2017,0.015516,0.026080,0.015516,0.019940,243,-
Sep 09 2017,0.013859,0.018744,0.013290,0.015521,654,-
Sep 08 2017,0.023616,0.023657,0.013725,0.013848,409,-
Sep 07 2017,0.023655,0.029275,0.017538,0.023616,605,-
Sep 06 2017,0.023764,0.023821,0.023596,0.023680,74,-
Sep 05 2017,0.024148,0.024739,0.018798,0.023758,319,-
Sep 04 2017,0.032701,0.032759,0.023952,0.024136,839,-
Sep 03 2017,0.024581,0.032017,0.024253,0.031908,566,-
Sep 02 2017,0.029743,0.030541,0.024147,0.024574,100,-
Sep 01 2017,0.025627,0.030853,0.025514,0.030530,114,-
Aug 31 2017,0.028879,0.031800,0.021962,0.025537,1533,-
Aug 30 2017,0.026675,0.031314,0.022586,0.029263,130,-
Aug 29 2017,0.021318,0.031533,0.020939,0.026692,754,-
Aug 28 2017,0.035527,0.035527,0.020680,0.022024,947,-
Aug 27 2017,0.057123,0.057811,0.022372,0.035931,1039,-
Aug 26 2017,0.066239,0.080584,0.038539,0.057136,618,-
Aug 25 2017,0.021507,0.073392,0.016047,0.066174,12547,-
Aug 24 2017,0.015451,0.021518,0.015383,0.021511,688,-
Aug 23 2017,0.015289,0.015541,0.015054,0.015441,636,-
Aug 22 2017,0.016300,0.016300,0.015222,0.015285,186,-
Aug 21 2017,0.016011,0.020434,0.015730,0.016285,405,-
Aug 20 2017,0.018816,0.019549,0.015365,0.016026,257,-
Aug 19 2017,0.015001,0.019042,0.013476,0.018822,1033,-
Aug 18 2017,0.020341,0.020355,0.004663,0.014987,2596,-
Aug 17 2017,0.019376,0.022600,0.019355,0.020359,306,-
Aug 16 2017,0.019930,0.026819,0.019203,0.019363,657,-
Aug 15 2017,0.022627,0.022640,0.018632,0.019941,113,-
Aug 14 2017,0.027014,0.027631,0.018216,0.022637,240,-
Aug 13 2017,0.028435,0.030095,0.017211,0.027014,1831,-
Aug 12 2017,0.016252,0.030495,0.016122,0.028436,8636,-
Aug 11 2017,0.013152,0.022197,0.012490,0.016249,1001,-
Aug 10 2017,0.009816,0.013664,0.009816,0.013130,712,-
Aug 09 2017,0.016601,0.016601,0.008257,0.009801,3348,-
Aug 08 2017,0.023363,0.030112,0.016615,0.016615,1826,-
Aug 07 2017,0.023591,0.024532,0.019018,0.023358,269,-
Aug 06 2017,0.025822,0.026300,0.022481,0.023627,118,-
Aug 05 2017,0.022891,0.028689,0.020976,0.025818,207,-
Aug 04 2017,0.019927,0.022912,0.018988,0.022900,377,-
Aug 03 2017,0.017773,0.020019,0.017526,0.019932,54,-
Aug 02 2017,0.023532,0.023992,0.013341,0.017771,1776,-
Aug 01 2017,0.020466,0.024542,0.020398,0.023534,54,-
Jul 31 2017,0.024529,0.025327,0.018692,0.020456,2214,-
Jul 30 2017,0.022622,0.024545,0.022432,0.024538,632,-
Jul 29 2017,0.031719,0.032892,0.022600,0.022623,1033,-
Jul 28 2017,0.029352,0.031921,0.024094,0.031811,1475,-
Jul 27 2017,0.031417,0.032631,0.027703,0.029145,650,-
Jul 26 2017,0.027783,0.034773,0.026624,0.031401,1867,-
Jul 25 2017,0.031912,0.031912,0.027044,0.027780,16419,-
Jul 24 2017,0.037905,0.038189,0.030093,0.031915,25293,-
Jul 23 2017,0.036635,0.043325,0.032754,0.037772,36058,-
Jul 22 2017,0.132406,0.132406,0.032449,0.036636,36312,-
Jul 21 2017,0.033093,0.247986,0.024721,0.132414,24664,-
Jul 20 2017,0.030414,0.036767,0.029646,0.033051,28710,-
Jul 19 2017,0.026310,0.030760,0.024564,0.030398,33071,-
Jul 18 2017,0.016486,0.030157,0.016486,0.026269,32524,-
Jul 17 2017,0.015086,0.019668,0.013437,0.016477,28067,-
Jul 16 2017,0.013752,0.015729,0.011947,0.012711,23749,-
Jul 15 2017,0.016713,0.017721,0.008097,0.013756,18948,-
Jul 14 2017,0.017025,0.018501,0.015132,0.016698,24857,-
Jul 13 2017,0.018128,0.018717,0.015499,0.017018,21235,-
Jul 12 2017,0.016500,0.018570,0.015022,0.018128,22824,-
Jul 11 2017,0.016071,0.017668,0.015333,0.015334,21924,-
Jul 10 2017,0.019398,0.019692,0.016063,0.016070,20927,-
Jul 09 2017,0.018696,0.019403,0.015471,0.019398,25600,-
Jul 08 2017,0.022338,0.022779,0.013670,0.018695,30686,-
Jul 07 2017,0.021328,0.022797,0.020296,0.020885,22862,-
Jul 06 2017,0.020616,0.023082,0.019908,0.021327,22367,-
Jul 05 2017,0.023128,0.024767,0.019975,0.020623,17455,-
Jul 04 2017,0.023147,0.026352,0.021278,0.023123,24829,-
Jul 03 2017,0.019387,0.024917,0.018356,0.023163,29051,-
Jul 02 2017,0.022428,0.022428,0.018149,0.019535,22154,-
Jul 01 2017,0.019641,0.022434,0.019481,0.022428,21812,-
Jun 30 2017,0.019182,0.021688,0.017563,0.019631,27080,-
Jun 29 2017,0.020463,0.022867,0.016206,0.019205,22705,-
Jun 28 2017,0.021367,0.021728,0.020018,0.020461,25294,-
Jun 27 2017,0.021989,0.021989,0.019682,0.021366,28846,-
Jun 26 2017,0.019486,0.021989,0.019202,0.021989,20764,-
Jun 25 2017,0.022533,0.022970,0.019453,0.019453,19536,-
Jun 24 2017,0.022398,0.023373,0.021223,0.022097,24476,-
Jun 23 2017,0.021408,0.023540,0.020856,0.022398,23768,-
Jun 22 2017,0.021825,0.023864,0.020494,0.022143,20027,-
Jun 21 2017,0.019777,0.024156,0.019777,0.023285,16127,-
Jun 20 2017,0.023462,0.023608,0.019634,0.019780,13099,-
Jun 19 2017,0.022931,0.024372,0.022158,0.023467,11935,-
Jun 18 2017,0.024229,0.025701,0.020709,0.022916,16512,-
Jun 17 2017,0.025254,0.026134,0.023199,0.024229,17603,-
Jun 16 2017,0.027328,0.027328,0.023193,0.025254,15525,-
Jun 15 2017,0.027524,0.027819,0.023667,0.027329,18572,-
Jun 14 2017,0.025897,0.028551,0.023689,0.027546,19848,-
Jun 13 2017,0.024001,0.026493,0.023096,0.025895,16557,-
Jun 12 2017,0.025676,0.028279,0.023412,0.024001,15708,-
Jun 11 2017,0.025581,0.027828,0.023377,0.025620,15517,-
Jun 10 2017,0.023324,0.027725,0.022137,0.025581,18082,-
Jun 09 2017,0.024409,0.028938,0.021597,0.023322,13684,-
Jun 08 2017,0.023717,0.026145,0.020923,0.024413,18794,-
Jun 07 2017,0.026687,0.027725,0.022132,0.022132,12234,-
Jun 06 2017,0.024709,0.027564,0.023415,0.026677,13367,-
Jun 05 2017,0.023119,0.024909,0.022972,0.024704,14598,-
Jun 04 2017,0.023124,0.024691,0.022081,0.023124,14484,-
Jun 03 2017,0.023196,0.023801,0.021386,0.023125,14029,-
Jun 02 2017,0.023352,0.025939,0.021610,0.023184,13941,-
Jun 01 2017,0.030773,0.032289,0.022722,0.023350,12296,-
May 31 2017,0.027429,0.030893,0.024659,0.030743,62,-
May 30 2017,0.027624,0.027624,0.021892,0.027404,431,-
May 29 2017,0.031722,0.032551,0.027588,0.027599,37,-
May 28 2017,0.024716,0.035278,0.024716,0.031787,17,-
May 27 2017,0.029834,0.029834,0.024700,0.024714,516,-
May 26 2017,0.025300,0.038751,0.025300,0.029775,802,-
May 25 2017,0.027084,0.029867,0.025091,0.025326,466,-
May 24 2017,0.028913,0.030693,0.027072,0.027096,1223,-
May 23 2017,0.033138,0.033293,0.025895,0.028907,1044,-
May 22 2017,0.033572,0.059209,0.028948,0.033147,3467,-
May 21 2017,0.035145,0.036906,0.030860,0.033442,496,-
May 20 2017,0.029067,0.035171,0.019826,0.035156,50,-
May 19 2017,0.020327,0.029052,0.020327,0.029035,1170,-
May 18 2017,0.019213,0.020317,0.017848,0.020317,16,-
May 17 2017,0.034413,0.034725,0.019174,0.019211,65,-
May 16 2017,0.021327,0.034423,0.020418,0.034423,4,-
May 15 2017,0.022743,0.022743,0.020187,0.021338,267,-
May 14 2017,0.024205,0.028260,0.022320,0.022754,18759,-
May 13 2017,0.021671,0.026608,0.020306,0.024129,12,-
May 12 2017,0.029966,0.030023,0.021653,0.021661,811,-
May 11 2017,0.028647,0.030052,0.027359,0.029944,86,-
May 10 2017,0.021895,0.031729,0.021895,0.028617,225,-
May 09 2017,0.026272,0.030733,0.021773,0.021899,504,-
May 08 2017,0.026876,0.033632,0.026272,0.026275,880,-
May 07 2017,0.030760,0.031082,0.026218,0.026753,709,-
May 06 2017,0.026876,0.030798,0.026876,0.030759,55,-
May 05 2017,0.031062,0.032234,0.026771,0.026888,1459,-
May 04 2017,0.034307,0.034460,0.029605,0.031021,162,-
May 03 2017,0.031260,0.042726,0.030914,0.034299,133,-
May 02 2017,0.030900,0.034297,0.028208,0.031242,671,-
May 01 2017,0.038642,0.039514,0.030444,0.030912,237,-
Apr 30 2017,0.032016,0.038631,0.031879,0.038630,32,-
Apr 29 2017,0.030683,0.034874,0.028515,0.032015,66,-
Apr 28 2017,0.038703,0.038703,0.028448,0.030654,262,-
Apr 27 2017,0.028276,0.045216,0.028274,0.038700,146,-
Apr 26 2017,0.030371,0.030467,0.027083,0.028277,1135,-
Apr 25 2017,0.029324,0.042150,0.023184,0.030352,435,-
Apr 24 2017,0.027252,0.042760,0.027252,0.029317,52,-
Apr 23 2017,0.027788,0.031752,0.026289,0.026983,1509,-
Apr 22 2017,0.032190,0.055628,0.027736,0.027788,1018,-
Apr 21 2017,0.033175,0.033568,0.027627,0.032180,1070,-
Apr 20 2017,0.027626,0.033187,0.027626,0.033161,391,-
Apr 19 2017,0.029748,0.031452,0.027622,0.027622,965,-
Apr 18 2017,0.033835,0.037211,0.027842,0.029728,630,-
Apr 17 2017,0.028821,0.034592,0.027555,0.033789,340,-
Apr 16 2017,0.029156,0.029745,0.028537,0.028842,267,-
Apr 15 2017,0.032063,0.032117,0.027587,0.029146,1172,-
Apr 14 2017,0.029038,0.032085,0.029034,0.032083,365,-
Apr 13 2017,0.031998,0.032240,0.028740,0.029059,379,-
Apr 12 2017,0.030464,0.032029,0.030464,0.032023,1229,-
Apr 11 2017,0.030995,0.032245,0.027497,0.030417,652,-
Apr 10 2017,0.030521,0.030984,0.030312,0.030984,505,-
Apr 09 2017,0.032406,0.032411,0.027504,0.030523,2879,-
Apr 08 2017,0.032359,0.033026,0.028844,0.032405,331,-
Apr 07 2017,0.030399,0.037544,0.027363,0.032396,1643,-
Apr 06 2017,0.036202,0.037653,0.030355,0.030391,619,-
Apr 05 2017,0.026573,0.040524,0.026097,0.036192,3854,-
Apr 04 2017,0.033539,0.033617,0.026119,0.026561,342,-
Apr 03 2017,0.037282,0.037544,0.031275,0.033506,1361,-
Apr 02 2017,0.027501,0.037243,0.024816,0.037242,182,-
Apr 01 2017,0.027512,0.030137,0.025228,0.027500,597,-
Mar 31 2017,0.026016,0.029012,0.025149,0.027506,1335,-
Mar 30 2017,0.029331,0.038322,0.023446,0.026007,4830,-
Mar 29 2017,0.022729,0.029706,0.021782,0.029306,861,-
Mar 28 2017,0.025446,0.030798,0.022257,0.022752,32,-
Mar 27 2017,0.022468,0.028705,0.022468,0.025451,53,-
Mar 26 2017,0.025931,0.029068,0.022176,0.022345,160,-
Mar 25 2017,0.027602,0.027603,0.021580,0.025918,1032,-
Mar 24 2017,0.027534,0.028995,0.027498,0.027578,1797,-
Mar 23 2017,0.023983,0.038845,0.023610,0.027532,4314,-
Mar 22 2017,0.025870,0.027526,0.023450,0.023967,8413,-
Mar 21 2017,0.038572,0.038934,0.015465,0.025868,307,-
Mar 20 2017,0.030359,0.038537,0.030338,0.038531,13,-
Mar 19 2017,0.032476,0.032628,0.027321,0.030390,1213,-
Mar 18 2017,0.031667,0.033210,0.028903,0.032475,193,-
Mar 17 2017,0.023881,0.031627,0.022037,0.031617,1105,-
Mar 16 2017,0.032472,0.032830,0.022497,0.029489,33,-
Mar 15 2017,0.036333,0.036388,0.028930,0.032428,8,-
Mar 14 2017,0.038506,0.063454,0.034245,0.036327,943,-
Mar 13 2017,0.033513,0.042401,0.033512,0.038506,222,-
Mar 12 2017,0.024479,0.036186,0.024453,0.033321,101,-
Mar 11 2017,0.030088,0.030208,0.023959,0.024462,28,-
Mar 10 2017,0.027278,0.031117,0.027278,0.030079,381,-
Mar 09 2017,0.027959,0.027973,0.027255,0.027258,16,-
Mar 08 2017,0.061485,0.452143,0.027959,0.027965,132,-
Mar 07 2017,0.027874,0.061520,0.026432,0.061505,113,-
Mar 06 2017,0.030021,0.039851,0.027579,0.027870,512,-
Mar 05 2017,0.041432,0.041432,0.029052,0.030037,1012,-
Mar 04 2017,0.034958,0.041443,0.033905,0.041437,388,-
Mar 03 2017,0.025418,0.036526,0.020956,0.034943,9931,-
Mar 02 2017,0.017955,0.025474,0.017502,0.025424,12,-
Mar 01 2017,0.024989,0.027687,0.017846,0.017951,1256,-
Feb 28 2017,0.025525,0.036069,0.024851,0.024982,551,-
Feb 27 2017,0.026030,0.026405,0.024373,0.025511,694,-
Feb 26 2017,0.113130,0.115598,0.025147,0.026120,102,-
Feb 25 2017,0.030103,0.113178,0.029840,0.113139,5,-
Feb 24 2017,0.024756,0.030141,0.024401,0.030136,118,-
Feb 23 2017,0.025082,0.025333,0.024720,0.024752,1213,-
Feb 22 2017,0.025959,0.027438,0.024206,0.025075,559,-
Feb 21 2017,0.029117,0.030889,0.025579,0.025960,462,-
Feb 20 2017,0.026568,0.029501,0.026141,0.029133,23,-
Feb 19 2017,0.029825,0.030972,0.026599,0.026599,93,-
Feb 18 2017,0.029196,0.031835,0.029179,0.030082,72,-
Feb 17 2017,0.030463,0.030705,0.026020,0.029163,451,-
Feb 16 2017,0.031962,0.032040,0.029938,0.030473,162,-
Feb 15 2017,0.022361,0.033741,0.022232,0.031967,1297,-
Feb 14 2017,0.029055,0.029055,0.021941,0.022356,2592,-
Feb 13 2017,0.029145,0.029276,0.021826,0.029056,3159,-
Feb 12 2017,0.029192,0.029546,0.029055,0.029170,347,-
Feb 11 2017,0.028930,0.031560,0.028920,0.029193,306,-
Feb 10 2017,0.029247,0.029476,0.028932,0.028936,156,-
Feb 09 2017,0.032158,0.033534,0.028854,0.029320,950,-
Feb 08 2017,0.030678,0.036609,0.030678,0.032143,1209,-
Feb 07 2017,0.047567,0.057481,0.025455,0.030669,179,-
Feb 06 2017,0.033501,0.079666,0.023063,0.047476,55,-
